Fecha	Hora	Nivel (msnm)	Aforador - Caudal (l/s)	PZ-2-A-1 (Hz)	PZ-2-A-1 (mca)	PZ-2-A-1 (N. Piezom.)	PZ-2-A-1 (%)	PZ-2-A-2 (Hz)	PZ-2-A-2 (mca)	PZ-2-A-2 (N. Piezom.)	PZ-2-A-2 (%)	PZ-2-A-3 (Hz)	PZ-2-A-3 (mca)	PZ-2-A-3 (N. Piezom.)	PZ-2-A-3 (%)	PZ-2-B-1 (Hz)	PZ-2-B-1 (mca)	PZ-2-B-1 (N. Piezom.)
01/01/2020	10:26:33	44,53	0,99	0	199,643	248,343	-4799,11	300,1	179,96	226,16	-10840,948	0	196,267	239,467	14646,797	0	177,482	222,282
01/01/2020	10:26:33	44,53	0,998	2946,7	-1,109	47,591	26,594	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	259,6	176,16	220,96
02/01/2020	10:26:33	44,52	0,997	2946,8	-1,123	47,577	26,985	0	181,831	228,031	-10953,687	280	194,58	237,78	14520,89	3018,2	-1,338	43,462
02/01/2020	10:26:33	44,53	1,008	0	199,643	248,343	-4787,599	239,4	180,64	226,84	-10816,768	249,3	194,93	238,13	14656,386	0	177,482	222,282
03/01/2020	10:26:33	44,53	0,99	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
03/01/2020	10:26:33	44,53	1	2946,6	-1,095	47,605	26,267	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
04/01/2020	10:26:33	44,53	1,003	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
04/01/2020	10:26:33	44,53	0,997	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
05/01/2020	10:26:33	44,53	0,995	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
05/01/2020	10:26:33	44,54	1,024	2947	-1,15	47,55	27,508	269,8	180,319	226,519	-10733,247	0	196,267	239,467	14868,724	0	177,482	222,282
06/01/2020	10:26:33	44,52	1,003	0	199,643	248,343	-4787,599	269,8	180,319	226,519	-10797,507	0	196,267	239,467	14756,947	0	177,482	222,282
06/01/2020	10:26:33	44,53	0,997	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
07/01/2020	10:26:33	44,52	0,993	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
07/01/2020	10:26:33	44,53	0,993	2946,9	-1,136	47,564	27,181	329,8	179,571	225,771	-10688,747	0	196,267	239,467	14868,724	0	177,482	222,282
08/01/2020	10:26:33	44,53	1	2946,9	-1,136	47,564	27,181	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
08/01/2020	10:26:33	44,53	0,992	2946,9	-1,136	47,564	27,247	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
09/01/2020	10:26:33	44,52	0,993	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
09/01/2020	10:26:33	44,52	1,001	2947	-1,15	47,55	27,574	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	3018,5	-1,373	43,427
10/01/2020	10:26:33	44,52	0,992	290	197,699	246,399	-4729,631	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
10/01/2020	10:26:33	44,53	0,993	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	299,9	194,332	237,532	14722,095	0	177,482	222,282
11/01/2020	10:26:33	44,52	0,981	0	199,643	248,343	-4776,147	269,9	180,317	226,517	-10733,18	0	196,267	239,467	14868,724	3018,4	-1,361	43,439
11/01/2020	10:26:33	44,52	0,998	2947	-1,15	47,55	27,508	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
12/01/2020	10:26:33	44,52	0,982	2947	-1,15	47,55	27,442	0	181,831	228,031	-10759,226	0	196,267	239,467	14982,249	0	177,482	222,282
12/01/2020	10:26:33	44,52	1,011	0	199,643	248,343	-4776,147	270,2	180,314	226,514	-10732,978	0	196,267	239,467	14868,724	0	177,482	222,282
13/01/2020	10:26:33	44,51	1	289,7	197,703	246,403	-4718,437	0	181,831	228,031	-10759,226	0	196,267	239,467	14982,249	0	177,482	222,282
13/01/2020	10:26:33	44,51	0,995	2947	-1,15	47,55	27,508	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
14/01/2020	10:26:33	44,52	0,976	2947,2	-1,177	47,523	28,093	0	181,831	228,031	-10759,226	0	196,267	239,467	14982,249	3018,7	-1,397	43,403
14/01/2020	10:26:33	44,52	0,989	0	199,643	248,343	-4764,746	0	181,831	228,031	-10759,226	0	196,267	239,467	14982,249	0	177,482	222,282
15/01/2020	10:26:33	44,52	0,987	2947,2	-1,177	47,523	28,16	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	3018,5	-1,373	43,427
15/01/2020	10:26:33	44,52	0,992	252,5	198,169	246,869	-4740,883	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
16/01/2020	10:26:33	44,52	0,979	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
16/01/2020	10:26:33	44,52	0,984	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
17/01/2020	10:26:33	44,52	0,989	2947	-1,15	47,55	27,442	290,4	180,079	226,279	-10655,532	0	196,267	239,467	14982,249	3017,9	-1,302	43,498
17/01/2020	10:26:33	44,52	0,984	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
18/01/2020	10:26:33	44,52	1,005	2946,9	-1,136	47,564	27,181	0	181,831	228,031	-10823,282	245,1	194,974	238,174	14770,787	0	177,482	222,282
18/01/2020	10:26:33	44,53	1,005	2947	-1,15	47,55	27,508	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
19/01/2020	10:26:33	44,53	0,989	2947,2	-1,177	47,523	28,227	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
19/01/2020	10:26:33	44,54	1,003	2947,4	-1,204	47,496	28,812	0	181,831	228,031	-10823,282	230,4	195,125	238,325	14782,181	0	177,482	222,282
20/01/2020	10:26:33	44,52	1	2947,6	-1,232	47,468	29,677	0	181,831	228,031	-11020,062	0	196,267	239,467	14538,321	0	177,482	222,282
20/01/2020	10:26:33	44,52	1,005	2947,7	-1,245	47,455	29,79	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	3019,4	-1,48	43,32
21/01/2020	10:26:33	44,51	0,992	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
21/01/2020	10:26:33	44,52	0,995	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
22/01/2020	10:26:33	44,52	1,003	2947,9	-1,272	47,428	30,442	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
22/01/2020	10:26:33	44,53	1,018	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	3019,4	-1,48	43,32
23/01/2020	10:26:33	44,54	1,016	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
23/01/2020	10:26:33	44,54	1,016	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
24/01/2020	10:26:33	44,56	1,095	0	199,643	248,343	-4799,11	0	181,831	228,031	-10953,687	0	196,267	239,467	14646,797	3019	-1,432	43,368
24/01/2020	10:26:33	44,58	1,171	2947,7	-1,245	47,455	30,005	0	181,831	228,031	-11020,062	0	196,267	239,467	14538,321	3019,2	-1,456	43,344
25/01/2020	10:26:33	44,65	1,203	0	199,643	248,343	-4833,969	0	181,831	228,031	-11155,279	0	196,267	239,467	14326,077	0	177,482	222,282
25/01/2020	10:26:33	44,8	1,171	2947,3	-1,191	47,509	29,042	0	181,831	228,031	-11364,433	0	196,267	239,467	14019,103	0	177,482	222,282
26/01/2020	10:26:33	44,84	1,14	2946,9	-1,136	47,564	28,984	0	181,831	228,031	-12804,994	0	196,267	239,467	12421,984	0	177,482	222,282
26/01/2020	10:26:33	44,85	1,121	257,6	198,109	246,809	-5119,091	0	181,831	228,031	-13272,358	0	196,267	239,467	12040,919	0	177,482	222,282
27/01/2020	10:26:33	44,85	1,119	2946,5	-1,082	47,618	28,023	0	181,831	228,031	-13369,934	0	196,267	239,467	11967,511	0	177,482	222,282
27/01/2020	10:26:33	44,86	1,112	2946,3	-1,054	47,646	27,388	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	244	176,314	221,114
28/01/2020	10:26:33	44,86	1,09	0	199,643	248,343	-5185,528	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	0	177,482	222,282
28/01/2020	10:26:33	44,87	1,1	2946,1	-1,027	47,673	26,751	0	181,831	228,031	-13569,488	0	196,267	239,467	11823,32	0	177,482	222,282
29/01/2020	10:26:33	44,87	1,085	2946,2	-1,041	47,659	27,034	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	0	177,482	222,282
29/01/2020	10:26:33	44,87	1,095	2946,2	-1,041	47,659	27,175	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
30/01/2020	10:26:33	44,86	1,079	0	199,643	248,343	-5212,607	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
